Recording ID,Database,Subspecies_Friis,Latitude,Longitude,Date,Month,Year,Time
101660701,ML,hyemalis,41.846,-78.0989,5/23/18,5,2018,0
102051381,ML,hyemalis,38.5867,-77.7578,3/28/18,3,2018,1248
102371111,ML,hyemalis,42.4712,-76.4592,5/4/18,5,2018,0
102381571,ML,hyemalis,42.4761,-76.4569,5/8/18,5,2018,0
102767781,ML,hyemalis,41.0502,-75.9193,5/31/18,5,2018,1600
102952031,ML,oreganus,47.5342,-122.157,5/21/18,5,2018,731
103281941,ML,hyemalis,35.4028,-82.7565,6/2/18,6,2018,1330
103377601,ML,hyemalis,44.7139,-64.74,6/5/18,6,2018,1300
103514521,ML,hyemalis,45.3565,-72.2602,5/12/18,5,2018,530
103601471,ML,hyemalis,38.9876992,-79.330524,6/7/18,6,2018,550
104200011,ML,hyemalis,42.2729,-76.6399,6/12/18,6,2018,0
104203501,ML,hyemalis,42.4749,-76.4601,4/10/18,4,2018,0
104306801,ML,caniceps,40.6153,-115.3816,6/7/18,6,2018,0
104522961,ML,hyemalis,42.3179,-76.4783,6/14/18,6,2018,0
104523331,ML,hyemalis,42.3179,-76.4783,6/14/18,6,2018,0
104525971,ML,hyemalis,44.6503,-70.348,6/15/18,6,2018,750
104527941,ML,hyemalis,42.276571,-76.643584,6/12/18,6,2018,559
104529571,ML,hyemalis,42.3071,-76.482,6/14/18,6,2018,0
104589691,ML,oreganus,47.6552,-122.414,6/16/18,6,2018,652
104685961,ML,hyemalis,44.7139,-64.74,6/17/18,6,2018,530
104799541,ML,hyemalis,44.2706,-72.9593,6/18/18,6,2018,530
104829841,ML,oreganus,38.808,-120.3749,6/16/18,6,2018,638
104838641,ML,hyemalis,42.4157303,-76.51937,6/7/18,6,2018,1901
104883331,ML,hyemalis,42.3338153,-76.340067,6/17/18,6,2018,542
104887471,ML,hyemalis,42.3233,-76.3517,6/13/18,6,2018,0
104953671,ML,hyemalis,42.3071,-76.482,6/14/18,6,2018,0
104953691,ML,hyemalis,42.317861,-76.478307,6/14/18,6,2018,548
105031141,ML,hyemalis,43.827,-73.5446,6/3/18,6,2018,643
105123861,ML,oreganus,48.5050189,-123.042,6/21/18,6,2018,1110
105187821,ML,hyemalis,35.7153,-82.2741,6/22/18,6,2018,710
105207351,ML,oreganus,37.4016,-122.337,6/21/18,6,2018,1756
105221001,ML,hyemalis,41.5367,-79.4399,6/22/18,6,2018,820
105276111,ML,hyemalis,44.7139,-64.74,6/23/18,6,2018,545
105306791,ML,oreganus,48.8618,-121.684,6/23/18,6,2018,434
105313321,ML,caniceps,39.4663,-105.2363,6/23/18,6,2018,0
105313591,ML,caniceps,39.4663,-105.2363,6/23/18,6,2018,0
105345661,ML,caniceps,39.4663,-105.2363,6/23/18,6,2018,0
105396011,ML,hyemalis,42.435976,-72.893452,6/24/18,6,2018,511
105403601,ML,oreganus,56.9708778,-135.3236,6/23/18,6,2018,1542
105489371,ML,hyemalis,43.7095983,-72.315953,6/24/18,6,2018,1355
105741261,ML,oreganus,45.5277,-122.729,6/17/18,6,2018,1502
105828461,ML,hyemalis,44.3443,-68.0561,6/14/18,6,2018,1220
105843921,ML,caniceps,39.6139,-105.5408,6/28/18,6,2018,0
105850711,ML,caniceps,39.611,-105.5625,6/28/18,6,2018,0
105850741,ML,caniceps,39.611,-105.5625,6/28/18,6,2018,0
105899821,ML,hyemalis,44.3779,-68.0364,6/15/18,6,2018,620
105946621,ML,oreganus,39.6403,-120.61,6/14/18,6,2018,600
105993971,ML,hyemalis,42.5481,-72.9438,6/30/18,6,2018,536
106045801,ML,hyemalis,44.1616,-73.7202,6/21/18,6,2018,527
106050801,ML,hyemalis,44.1616,-73.7202,6/21/18,6,2018,527
106130851,ML,hyemalis,43.6465,-73.6535,7/1/18,7,2018,640
106156641,ML,hyemalis,43.6465,-73.6535,7/1/18,7,2018,640
106156741,ML,hyemalis,43.6465,-73.6535,7/1/18,7,2018,640
106168961,ML,hyemalis,42.3217195,-76.4746687,6/14/18,6,2018,0
106168981,ML,hyemalis,42.3179,-76.4783,6/14/18,6,2018,0
106310481,ML,hyemalis,43.5479,-65.6107,7/2/18,7,2018,1630
106539101,ML,hyemalis,43.8418,-72.9648,7/5/18,7,2018,553
106546611,ML,hyemalis,44.6448,-63.4524,7/1/18,7,2018,0
106567011,ML,hyemalis,41.9986,-74.3864,7/1/18,7,2018,453
106584611,ML,oreganus,43.5157,-121.693,7/4/18,7,2018,827
106616131,ML,hyemalis,35.5569,-83.4962,7/5/18,7,2018,1200
106616141,ML,hyemalis,35.5569,-83.4962,7/5/18,7,2018,1200
106720131,ML,hyemalis,46.8093,-89.7502,7/2/18,7,2018,1100
106926581,ML,hyemalis,44.6503,-70.348,7/8/18,7,2018,723
107377361,ML,caniceps,39.9485677,-105.36262,7/13/18,7,2018,838
107391201,ML,hyemalis,42.3179,-76.4783,6/14/18,6,2018,0
107392841,ML,hyemalis,42.3179,-76.4783,6/14/18,6,2018,0
107570931,ML,caniceps,38.8674,-106.247,6/29/18,6,2018,500
107578861,ML,caniceps,39.3222,-106.412,7/2/18,7,2018,510
107616011,ML,hyemalis,35.715,-83.2565,7/15/18,7,2018,1025
107642201,ML,caniceps,39.4756,-106.115,7/6/18,7,2018,710
107703001,ML,caniceps,39.4015,-106.315,7/3/18,7,2018,510
107703731,ML,caniceps,40.6100397,-111.59591,7/15/18,7,2018,1211
107749431,ML,caniceps,40.6100397,-111.59591,7/15/18,7,2018,1211
107750651,ML,caniceps,40.5816,-111.656,7/16/18,7,2018,739
107752861,ML,oreganus,39.5834,-120.483,6/8/15,6,2015,600
107809771,ML,caniceps,42.1714,-114.2794,7/26/18,7,2018,0
107881271,ML,hyemalis,42.3338,-76.3401,7/23/18,7,2018,0
108158391,ML,oreganus,49.37427,-123.1818,7/21/18,7,2018,645
108162811,ML,hyemalis,42.6260225,-73.03433,7/21/18,7,2018,630
108190801,ML,hyemalis,44.4106,-67.9898,6/19/18,6,2018,515
108272741,ML,oreganus,51.6526168,-120.04029,6/22/18,6,2018,543
108332791,ML,oreganus,45.3045,-121.756,7/16/18,7,2018,801
110210511,ML,hyemalis,40.3184261,-75.409523,4/11/18,4,2018,1323
113917261,ML,oreganus,46.9008,-121.596,7/1/12,7,2012,920
113956871,ML,oreganus,39.698,-120.45,6/14/10,6,2010,600
120334001,ML,hyemalis,50.3225,-66.7726,5/29/18,5,2018,500
120662481,ML,hyemalis,42.4259195,-76.335754,10/26/18,10,2018,735
120993921,ML,caniceps,39.5904357,-104.8937,10/28/18,10,2018,952
