FileName,ID_Num,avg_silence_duration.ms.,avg_syllable_duration.ms.,avg_sylls_freq_range.Hz.,avg_sylls_lower_freq.Hz.,avg_sylls_upper_freq.Hz.,bout_duration.ms.,largest_silence_duration.ms.,largest_syllable_duration.ms.,largest_sylls_freq_range.Hz.,max_sylls_freq.Hz.,mean_syllable_stereotypy,min_sylls_freq.Hz.,num_syllable_per_bout_duration.1.ms.,num_syllables,num_syllables_per_num_unique,num_unique_syllables,overall_sylls_freq_range.Hz.,sequential_repetition,smallest_silence_duration.ms.,smallest_syllable_duration.ms.,smallest_sylls_freq_range.Hz.,stdev_silence_duration.ms.,stdev_syllable_duration.ms.,stdev_syllable_stereotypy,stdev_sylls_freq_range.Hz.,syll_correlation_threshold,syllable_pattern,syllable_stereotypy,subspecies
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_Junco-hyemalis-224747-bout1.gzip,224747,2.702745149,4.277029161,8.321456982,7.775583966,8.77181941,7.28836374,22.85714286,76.82539683,4771.052632,6963.157895,4.219908909,2149.122807,-4.455150427,2.833213344,17,0,4857.017544,1,10.79365079,63.17460317,2321.052632,3.413252078,3.357588159,NA,626.5607448,53.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[68.02728733],caniceps
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_Junco-hyemalis-224747-bout2.gzip,224747,2.839109405,4.251890831,8.294063346,7.834083189,8.776829379,7.230068795,21.9047619,73.96825397,4341.22807,6791.22807,4.278187926,2278.070175,-4.457480102,2.772588722,16,0,4556.140351,1,15.23809524,65.3968254,3094.736842,1.549976885,2.514424666,NA,303.3106998,53.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[72.10965354],caniceps
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_Junco-hyemalis-224747-bout3.gzip,224747,2.899768285,4.242430023,8.355350561,7.745652365,8.782843399,7.35325477,23.17460317,76.82539683,4728.070175,7006.140351,4.357208871,1891.22807,-4.462883,2.890371758,9,0.693147181,5157.894737,0.941176471,13.01587302,63.49206349,2836.842105,2.260245595,3.683328419,NA,416.3317654,53.5,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[78.03901322],caniceps
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_Junco-hyemalis-224748-bout1.gzip,224748,2.868980568,4.241131931,8.292125706,7.794511976,8.760386208,7.28836374,20.31746032,73.01587302,4556.140351,6748.245614,4.374515795,2192.105263,-4.455150427,2.833213344,17,0,4599.122807,1,15.23809524,65.3968254,3524.561404,1.433852672,1.759981622,NA,314.3463507,53.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[79.40138372],caniceps
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_Junco-hyemalis-224748-bout2.gzip,224748,2.882142116,4.246730017,8.323982149,7.795032674,8.780643985,7.35325477,21.26984127,73.96825397,4470.175439,6748.245614,4.365415831,2020.175439,-4.462883,2.890371758,18,0,4771.052632,1,15.23809524,65.71428571,3567.54386,1.85629275,1.828180037,NA,244.4332931,53.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[78.68211161],caniceps
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_Junco-hyemalis-224748-bout3.gzip,224748,2.908720896,4.236282784,8.320841786,7.806934496,8.78312337,7.292261536,23.80952381,70.79365079,4556.140351,6791.22807,4.361483216,2149.122807,-4.459048164,2.833213344,17,0,4685.087719,1,16.82539683,66.34920635,3180.701754,1.752273595,1.199622506,NA,330.8737796,53.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[78.37329281],caniceps
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_229574.gzip,229574,3.421198048,3.925050272,7.869525335,8.318779461,8.805898767,7.516657814,52.38095238,64.44444444,3137.719298,6877.192982,4.167550847,3782.45614,-4.381163567,3.135494216,11.5,0.693147181,3137.719298,0.863636364,13.01587302,34.28571429,1719.298246,8.154325636,7.544018552,12.18372199,464.0774258,53.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 17, 17, 17, 17]",[55.94195559 73.17234047],oreganus
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_233299.gzip,233299,3.238616203,3.185858056,6.499147586,8.2800691,8.426405832,7.143893399,74.92063492,28.57142857,816.6666667,4685.087719,4.278277271,3825.438596,-3.885796838,3.258096538,13,0.693147181,902.6315789,0.96,18.0952381,13.96825397,386.8421053,13.83951011,3.097500817,NA,98.93868225,53.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25]",[72.11609645],hyemalis
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_239179.gzip,239179,3.177415057,3.535037369,8.038383652,8.069799848,8.740509827,7.452660216,26.34920635,43.49206349,3567.54386,6533.333333,4.454309456,3008.77193,-4.051462847,3.401197382,15,0.693147181,3567.54386,0.965517241,16.50793651,31.74603175,2364.035088,2.115320181,2.693073482,NA,204.7204232,53.5,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[85.99674583],hyemalis
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_seg 1 XC247522 - Dark-eyed Junco - Junco hyemalis dorsalis.gzip,247522,4.834011758,4.740551718,7.917067556,7.768125221,8.530063232,7.182014331,145.0793651,126.3492063,3008.77193,5372.807018,4.08579512,2321.052632,-5.39025482,1.791759469,6,0,3094.736842,1,110.4761905,104.7619048,2578.947368,13.97726982,6.919372731,NA,152.3706346,53.5,"[0, 0, 0, 0, 0, 0]",[59.48922004],dorsalis
