Locus,Isolate,Subspecies_Friis,Latitude,Longitude,Index,Row Names
HM033518,,hyemalis,60.23,-132.91,42,"gi|294513688|gb|HM033518.1| Junco hyemalis voucher BIOUG<CAN_:TLBS 191141284 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
HM033519,,hyemalis,60.23,-132.91,43,"gi|294513690|gb|HM033519.1| Junco hyemalis voucher BIOUG<CAN_:TLBS 192125992 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
HM033520,,hyemalis,60.23,-132.91,44,"gi|294513692|gb|HM033520.1| Junco hyemalis voucher BIOUG<CAN_:TLBS 192125993 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
JN850765,,oreganus,38.770146,-121.640625,45,"gi|377685851|gb|JN850765.1| Junco hyemalis isolate S06_718 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial"
KX461037,02N7285,oreganus,64.200841,-149.493681,46,"gi|1109546805|gb|KX461037.1| Junco hyemalis isolate 02N7285 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461038,02N7286,oreganus,64.200841,-149.49368,47,"gi|1109546807|gb|KX461038.1| Junco hyemalis isolate 02N7286 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461039,02N7287,oreganus,64.200841,-149.493679,48,"gi|1109546809|gb|KX461039.1| Junco hyemalis isolate 02N7287 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461040,02N7288,oreganus,64.200841,-149.493678,49,"gi|1109546811|gb|KX461040.1| Junco hyemalis isolate 02N7288 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461041,02N7289,oreganus,64.200841,-149.493677,50,"gi|1109546813|gb|KX461041.1| Junco hyemalis isolate 02N7289 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461042,02N7290,oreganus,64.200841,-149.493676,51,"gi|1109546815|gb|KX461042.1| Junco hyemalis isolate 02N7290 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461043,02N7291,oreganus,64.200841,-149.493675,52,"gi|1109546817|gb|KX461043.1| Junco hyemalis isolate 02N7291 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461044,02N7294,oreganus,64.200841,-149.493674,53,"gi|1109546819|gb|KX461044.1| Junco hyemalis isolate 02N7294 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461045,02N7295,oreganus,64.200841,-149.493673,54,"gi|1109546821|gb|KX461045.1| Junco hyemalis isolate 02N7295 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461046,03N4309,oreganus,38.770146,-121.640625,55,"gi|1109546823|gb|KX461046.1| Junco hyemalis isolate 03N4309 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461047,04N5027,oreganus,53.45359,-130.149871,56,"gi|1109546825|gb|KX461047.1| Junco hyemalis isolate 04N5027 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461048,04N5029,oreganus,53.45359,-130.14987,57,"gi|1109546827|gb|KX461048.1| Junco hyemalis isolate 04N5029 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461049,04N5030,oreganus,53.45359,-130.149869,58,"gi|1109546829|gb|KX461049.1| Junco hyemalis isolate 04N5030 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461050,04N5031,oreganus,53.45359,-130.149868,59,"gi|1109546831|gb|KX461050.1| Junco hyemalis isolate 04N5031 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461051,04N5035,oreganus,53.45359,-130.149867,60,"gi|1109546833|gb|KX461051.1| Junco hyemalis isolate 04N5035 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461052,04N5043,oreganus,53.993429,-130.487529,61,"gi|1109546835|gb|KX461052.1| Junco hyemalis isolate 04N5043 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461053,04N5044,oreganus,53.993429,-130.487528,62,"gi|1109546837|gb|KX461053.1| Junco hyemalis isolate 04N5044 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461054,04N5045,oreganus,53.993429,-130.487527,63,"gi|1109546839|gb|KX461054.1| Junco hyemalis isolate 04N5045 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461055,04N5050,oreganus,53.993429,-130.487526,64,"gi|1109546841|gb|KX461055.1| Junco hyemalis isolate 04N5050 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461056,04N5051,oreganus,53.993429,-130.487525,65,"gi|1109546843|gb|KX461056.1| Junco hyemalis isolate 04N5051 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461057,04N5052,oreganus,53.993429,-130.487524,66,"gi|1109546845|gb|KX461057.1| Junco hyemalis isolate 04N5052 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461058,04N5054,oreganus,53.993429,-130.487523,67,"gi|1109546847|gb|KX461058.1| Junco hyemalis isolate 04N5054 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461059,04N5055,oreganus,53.993429,-130.487522,68,"gi|1109546849|gb|KX461059.1| Junco hyemalis isolate 04N5055 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461060,04N5056,oreganus,53.993429,-130.487521,69,"gi|1109546851|gb|KX461060.1| Junco hyemalis isolate 04N5056 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461061,05N0500,mearnsi,43.981768,-109.514936,70,"gi|1109546853|gb|KX461061.1| Junco hyemalis isolate 05N0500 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461062,05N0501,mearnsi,43.981768,-109.514935,71,"gi|1109546855|gb|KX461062.1| Junco hyemalis isolate 05N0501 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461063,05N0502,mearnsi,43.981768,-109.514934,72,"gi|1109546857|gb|KX461063.1| Junco hyemalis isolate 05N0502 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461064,05N0503,mearnsi,43.981768,-109.514933,73,"gi|1109546859|gb|KX461064.1| Junco hyemalis isolate 05N0503 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461065,05N0504,mearnsi,43.981768,-109.514932,74,"gi|1109546861|gb|KX461065.1| Junco hyemalis isolate 05N0504 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461066,05N0506,mearnsi,43.981768,-109.514931,75,"gi|1109546863|gb|KX461066.1| Junco hyemalis isolate 05N0506 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461067,05N0507,mearnsi,43.981768,-109.51493,76,"gi|1109546865|gb|KX461067.1| Junco hyemalis isolate 05N0507 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461068,05N0509,mearnsi,43.981768,-109.514929,77,"gi|1109546867|gb|KX461068.1| Junco hyemalis isolate 05N0509 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461069,05N0522,aikeni,44.48614,-104.45109,78,"gi|1109546869|gb|KX461069.1| Junco hyemalis isolate 05N0522 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461070,05N0523,aikeni,44.48614,-104.45108,79,"gi|1109546871|gb|KX461070.1| Junco hyemalis isolate 05N0523 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461071,05N0524,aikeni,44.59476,-104.41143,80,"gi|1109546873|gb|KX461071.1| Junco hyemalis isolate 05N0524 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461072,05N0525,aikeni,44.59476,-104.41142,81,"gi|1109546875|gb|KX461072.1| Junco hyemalis isolate 05N0525 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461073,05N0526,aikeni,44.59476,-104.41141,82,"gi|1109546877|gb|KX461073.1| Junco hyemalis isolate 05N0526 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461074,05N0527,aikeni,44.50185,-104.4524,83,"gi|1109546879|gb|KX461074.1| Junco hyemalis isolate 05N0527 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461075,05N0528,aikeni,44.50185,-104.45239,84,"gi|1109546881|gb|KX461075.1| Junco hyemalis isolate 05N0528 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461076,05N0529,aikeni,44.50185,-104.45238,85,"gi|1109546883|gb|KX461076.1| Junco hyemalis isolate 05N0529 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461077,05N0538,caniceps,40.8046,-110.87713,86,"gi|1109546885|gb|KX461077.1| Junco hyemalis isolate 05N0538 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461078,05N0539,caniceps,40.8046,-110.87712,87,"gi|1109546887|gb|KX461078.1| Junco hyemalis isolate 05N0539 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461079,05N0541,caniceps,40.8046,-110.87711,88,"gi|1109546889|gb|KX461079.1| Junco hyemalis isolate 05N0541 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461080,05N0542,caniceps,40.8046,-110.8771,89,"gi|1109546891|gb|KX461080.1| Junco hyemalis isolate 05N0542 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461081,05N0543,caniceps,40.8046,-110.87709,90,"gi|1109546893|gb|KX461081.1| Junco hyemalis isolate 05N0543 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461082,05N0544,caniceps,40.8046,-110.87708,91,"gi|1109546895|gb|KX461082.1| Junco hyemalis isolate 05N0544 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461083,05N0545,caniceps,40.8046,-110.87707,92,"gi|1109546897|gb|KX461083.1| Junco hyemalis isolate 05N0545 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461084,05N0546,caniceps,40.8046,-110.87706,93,"gi|1109546899|gb|KX461084.1| Junco hyemalis isolate 05N0546 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461085,05N0547,caniceps,40.8046,-110.87705,94,"gi|1109546901|gb|KX461085.1| Junco hyemalis isolate 05N0547 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461086,05N0571,dorsalis,34.01638,-109.6203,95,"gi|1109546903|gb|KX461086.1| Junco hyemalis isolate 05N0571 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461087,05N0572,dorsalis,34.01638,-109.6202,96,"gi|1109546905|gb|KX461087.1| Junco hyemalis isolate 05N0572 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461088,05N0573,dorsalis,34.01638,-109.6201,97,"gi|1109546907|gb|KX461088.1| Junco hyemalis isolate 05N0573 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461089,05N0574,dorsalis,34.01638,-109.62,98,"gi|1109546909|gb|KX461089.1| Junco hyemalis isolate 05N0574 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461090,05N0575,dorsalis,34.01638,-109.6199,99,"gi|1109546911|gb|KX461090.1| Junco hyemalis isolate 05N0575 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461091,05N0582,dorsalis,33.92689,-109.45347,100,"gi|1109546913|gb|KX461091.1| Junco hyemalis isolate 05N0582 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461092,05N0583,dorsalis,33.92689,-109.45346,101,"gi|1109546915|gb|KX461092.1| Junco hyemalis isolate 05N0583 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461093,05N0584,dorsalis,33.92689,-109.45345,102,"gi|1109546917|gb|KX461093.1| Junco hyemalis isolate 05N0584 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461094,05N0585,dorsalis,33.92689,-109.45344,103,"gi|1109546919|gb|KX461094.1| Junco hyemalis isolate 05N0585 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461095,06N25589,dorsalis,33.92689,-109.45343,104,"gi|1109546921|gb|KX461095.1| Junco hyemalis isolate 06N25589 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461096,06N26275,oreganus,43.89835,-114.90129,105,"gi|1109546923|gb|KX461096.1| Junco hyemalis isolate 06N26275 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461097,06N26278,oreganus,43.89835,-114.90128,106,"gi|1109546925|gb|KX461097.1| Junco hyemalis isolate 06N26278 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461098,06N26281,oreganus,43.89835,-114.90127,107,"gi|1109546927|gb|KX461098.1| Junco hyemalis isolate 06N26281 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461099,06N26283,oreganus,43.89835,-114.90126,108,"gi|1109546929|gb|KX461099.1| Junco hyemalis isolate 06N26283 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461100,06N26284,oreganus,43.89835,-114.90118,109,"gi|1109546931|gb|KX461100.1| Junco hyemalis isolate 06N26284 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461101,06N26285,oreganus,43.89835,-114.90124,110,"gi|1109546933|gb|KX461101.1| Junco hyemalis isolate 06N26285 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461102,06N26286,oreganus,43.89835,-114.90123,111,"gi|1109546935|gb|KX461102.1| Junco hyemalis isolate 06N26286 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461103,06N26287,oreganus,43.89835,-114.90122,112,"gi|1109546937|gb|KX461103.1| Junco hyemalis isolate 06N26287 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461104,06N26290,oreganus,43.89835,-114.90121,113,"gi|1109546939|gb|KX461104.1| Junco hyemalis isolate 06N26290 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461105,06N26291,oreganus,43.89835,-114.9012,114,"gi|1109546941|gb|KX461105.1| Junco hyemalis isolate 06N26291 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461106,06N26292,oreganus,43.89835,-114.90191,115,"gi|1109546943|gb|KX461106.1| Junco hyemalis isolate 06N26292 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461107,06N26293,oreganus,43.89835,-114.90118,116,"gi|1109546945|gb|KX461107.1| Junco hyemalis isolate 06N26293 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461108,SCJU_3824,hyemalis,37.375136,-80.522752,117,"gi|1109546947|gb|KX461108.1| Junco hyemalis isolate SCJU-3824 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461109,SCJU_3826,hyemalis,37.375136,-80.522751,118,"gi|1109546949|gb|KX461109.1| Junco hyemalis isolate SCJU-3826 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461110,SCJU_3827,hyemalis,37.375136,-80.52275,119,"gi|1109546951|gb|KX461110.1| Junco hyemalis isolate SCJU-3827 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461111,SCJU_3828,hyemalis,37.375136,-80.522749,120,"gi|1109546953|gb|KX461111.1| Junco hyemalis isolate SCJU-3828 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461112,SCJU_3829,hyemalis,37.375136,-80.522748,121,"gi|1109546955|gb|KX461112.1| Junco hyemalis isolate SCJU-3829 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KX461113,SCJU_3830,hyemalis,37.375136,-80.522747,122,"gi|1109546957|gb|KX461113.1| Junco hyemalis isolate SCJU-3830 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
