FileName,ID_Num,avg_silence_duration(ms),avg_syllable_duration(ms),avg_sylls_freq_range(Hz),avg_sylls_lower_freq(Hz),avg_sylls_upper_freq(Hz),bout_duration(ms),largest_silence_duration(ms),largest_syllable_duration(ms),largest_sylls_freq_range(Hz),max_sylls_freq(Hz),mean_syllable_stereotypy,min_sylls_freq(Hz),num_syllable_per_bout_duration(1/ms),num_syllables,num_syllables_per_num_unique,num_unique_syllables,overall_sylls_freq_range(Hz),sequential_repetition,smallest_silence_duration(ms),smallest_syllable_duration(ms),smallest_sylls_freq_range(Hz),stdev_silence_duration(ms),stdev_syllable_duration(ms),stdev_syllable_stereotypy,stdev_sylls_freq_range(Hz),syll_correlation_threshold,syllable_pattern,syllable_stereotypy,subspecies,latitude,longitude
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_322653551-bout-2.gzip,322653551,41.34542706,37.83549784,1334.409888,4198.604466,5490.031898,1700.634921,56.82539683,44.12698413,1547.368421,5587.719298,54.08091633,4083.333333,0.012936345,22,11,2,1547.368421,0.857142857,32.6984127,30.47619048,1031.578947,7.447746763,3.248772821,5.316481835,130.9628942,53.5,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]",[57.84023669 50.32159597],oreganus,34.210172,-118.65084
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_322653551-bout-3.gzip,322834011,37.04761905,44.67120181,1473.684211,4089.473684,5520.175439,1679.047619,52.06349206,54.28571429,1547.368421,5587.719298,63.78482845,4040.350877,0.01250709,21,10.5,2,1590.350877,0.9,22.53968254,33.65079365,1375.438596,8.524641016,6.616700781,9.129803442,65.38825023,53.5,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[57.32908253 70.24057438],hyemalis,45.5895161,-77.28249
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_322834011-bout-1.gzip,322834011,23.88888889,67.88766789,2926.11336,3822.132254,6705.263158,1169.206349,32.38095238,89.52380952,3352.631579,6877.192982,56.76593957,3438.596491,0.011118653,13,3.25,4,3481.578947,0.25,14.28571429,54.28571429,2235.087719,5.735290879,8.156574514,3.5514315,405.6708782,53.5,"[0, 1, 2, 1, 1, 2, 6, 1, 1, 2, 1, 0, 0]",[56.24141054 60.55046439 53.50594377],hyemalis,45.5895161,-77.28249
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_322834011-bout-2.gzip,323165091,22.87830688,68.59126984,2444.627193,4271.381579,6673.026316,1440.634921,36.19047619,78.0952381,2750.877193,6963.157895,50.95956453,4126.315789,0.011106214,16,5.333333333,3,2879.824561,0.8,13.33333333,58.41269841,2235.087719,6.988729329,6.74777444,,143.7397429,53.5,"[0, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[50.95956453],hyemalis,43.6243935,-72.504814
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_323165091-bout-1.gzip,323165091,28.11666667,39.08333333,1827.48538,4081.871345,5862.573099,1047.083333,48.70833333,56.29166667,2666.666667,6643.274854,53.16629196,3929.824561,0.015280541,16,2.285714286,7,2760.233918,0.333333333,10.79166667,32.95833333,1169.590643,8.643659365,5.432626062,3.305334136,394.9338906,53.5,"[0, 1, 2, 3, 4, 4, 4, 4, 0, 4, 4, 0, 0, 4, 14, 15]",[50.82906778 55.50351614],hyemalis,43.6243935,-72.504814
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_323165091-bout-2.gzip,323165091,19.13782051,46.125,2111.946533,3859.649123,5924.81203,894.5416667,33.54166667,58.33333333,3134.502924,6830.409357,55.58676356,3555.555556,0.015650473,14,1.166666667,12,3321.637427,0,10.79166667,34.41666667,514.619883,7.26491889,8.115913723,1.881653115,647.6961589,53.5,"[0, 1, 2, 3, 4, 5, 6, 5, 8, 9, 10, 11, 8, 13]",[54.25623388 56.91729323],hyemalis,43.6243935,-72.504814
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_323165091-bout-3.gzip,323205141,31.35416667,36.05,2161.403509,4042.105263,6156.725146,979.7083333,41.41666667,48.41666667,2853.80117,6923.976608,50.67846349,3508.77193,0.015310679,15,1.25,12,3461.988304,0.142857143,24.5,29.45833333,514.619883,5.14137082,4.960538725,,542.1943405,53.5,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 8, 8, 11, 12, 8, 14]",[50.67846349],oreganus,49.6537118,-112.8765
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_323205141-bout-1.gzip,323205141,18.45804989,48.88888889,2765.204678,3329.707602,6051.929825,991.7460317,25.71428571,58.41269841,3868.421053,7092.105263,54.0614755,2321.052632,0.01512484,15,3,5,4814.035088,0.285714286,11.42857143,39.04761905,1289.473684,3.929445677,5.367400107,1.050159083,699.2634886,53.5,"[0, 1, 2, 3, 2, 2, 2, 2, 2, 3, 2, 11, 2, 3, 2]",[53.31890089 54.80405011],oreganus,49.6537118,-112.8765
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_323205141-bout-2.gzip,323481771,23.94179894,44.71306471,2681.443995,3339.406208,5977.867746,868.5714286,29.20634921,59.04761905,4083.333333,7135.087719,58.01338461,2192.105263,0.014967105,13,2.166666667,6,4985.964912,0.333333333,9.523809524,38.0952381,1719.298246,5.567224741,4.965398293,2.809498435,722.5525305,53.5,"[0, 1, 2, 1, 2, 2, 2, 7, 8, 2, 2, 2, 12]",[60.         56.02676921],oreganus,44.992633,-123.99799
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_323481771-bout-1.gzip,323581561,52.35416667,184.5416667,2325.814536,3862.99081,6142.021721,1605.916667,65.91666667,190.4583333,2339.181287,6269.005848,56.95994175,3742.690058,0.004358881,7,3.5,2,2573.099415,0.833333333,45.20833333,175.5833333,2292.397661,7.143749696,5.230287065,,22.82807188,53.5,"[0, 0, 0, 0, 0, 0, 6]",[56.95994175],oreganus,32.8729818,-116.46385
