subspecies,ID_Num,latitude,longitude
oreganus,219106,42.484284,-76.7923455
oreganus,219107,39.69796,-120.44998
oreganus,219107,39.69796,-120.44998
oreganus,219142,39.65467,-120.5995
hyemalis,219663,42.32492,-76.3363
hyemalis,220783,42.484284,-76.7923455
hyemalis,220784,42.484,-76.7923
hyemalis,224735,49.03,-65.867
hyemalis,224735,49.03,-65.867
caniceps,224746,39.8299,-105.4185
caniceps,224746,39.8299,-105.4185
caniceps,224746,39.8299,-105.4185
caniceps,224747,39.8299,-105.4185
caniceps,224747,39.8299,-105.4185
caniceps,224747,39.8299,-105.4185
caniceps,224748,39.8299,-105.4185
caniceps,224748,39.8299,-105.4185
caniceps,224748,39.8299,-105.4185
oreganus,229574,39.75505,-120.47668
hyemalis,233299,42.7165,-76.7077
hyemalis,239179,62.0812,-145.436
dorsalis,247522,35.0913,-113.8886
dorsalis,247523,35.0913,-113.8886
hyemalis,247781,42.3097,-76.5008
oreganus,253373,34.3703,-118.444
caniceps,253589,40.0038,-105.3055
caniceps,253589,40.0038,-105.3055
caniceps,253589,40.0038,-105.3055
hyemalis,253841,62.3674,-143.3518
hyemalis,253841,62.3674,-143.3518
hyemalis,253841,62.3674,-143.3518
aikeni,254477,43.719,-103.4808
aikeni,254478,43.719,-103.4808
aikeni,254480,43.719,-103.4808
oreganus,256194,39.892,-120.4226
oreganus,256194,39.892,-120.4226
oreganus,256194,39.892,-120.4226
hyemalis,267990,63.4291,-152.4525
hyemalis,267990,63.4291,-152.4525
hyemalis,267990,63.4291,-152.4525
hyemalis,267998,63.5422,-150.9973
hyemalis,267998,63.5422,-150.9973
hyemalis,267998,63.5422,-150.9973
hyemalis,267999,63.5422,-150.9973
hyemalis,267999,63.5422,-150.9973
hyemalis,267999,63.5422,-150.9973
oreganus,269029,46.3086,-121.5431
oreganus,269029,46.3086,-121.5431
oreganus,269029,46.3086,-121.5431
hyemalis,269055,63.9716,-151.603
hyemalis,269055,63.9716,-151.603
hyemalis,269055,63.9716,-151.603
hyemalis,269060,63.9716,-151.603
hyemalis,269060,63.9716,-151.603
hyemalis,269060,63.9716,-151.603
oreganus,269107,46.3086,-121.5431
oreganus,269107,46.3086,-121.5431
oreganus,269107,46.3086,-121.5431
hyemalis,269460,62.3674,-143.3518
hyemalis,269460,62.3674,-143.3518
hyemalis,269460,62.3674,-143.3518
hyemalis,269461,62.3674,-143.3518
hyemalis,269461,62.3674,-143.3518
hyemalis,269461,62.3674,-143.3518
hyemalis,269462,62.3674,-143.3518
hyemalis,269462,62.3674,-143.3518
hyemalis,269462,62.3674,-143.3518
hyemalis,269463,62.3674,-143.3518
hyemalis,269463,62.3674,-143.3518
hyemalis,269463,62.3674,-143.3518
hyemalis,283613,61.124,-151.1033
hyemalis,283613,61.124,-151.1033
hyemalis,283613,61.124,-151.1033
dorsalis,289053,35.0913,-113.8886
dorsalis,289054,35.0913,-113.8886
oreganus,313196,37.8454,-121.9235
dorsalis,314047,34.2046,-110.104
oreganus,314957,37.0818,-119.3135
hyemalis,322995,63.8984,-149.0555
hyemalis,322995,63.8984,-149.0555
hyemalis,322995,63.8984,-149.0555
hyemalis,323024,64.8626,-147.8638
hyemalis,323024,64.8626,-147.8638
hyemalis,323024,64.8626,-147.8638
oreganus,323125,37.808,-122.2565
caniceps,323210,40.3991,-105.647
caniceps,323210,40.3991,-105.647
caniceps,323210,40.3991,-105.647
caniceps,323890,40.6214,-105.3383
oreganus,324192,46.3086,-121.5431
oreganus,324192,46.3086,-121.5431
oreganus,324192,46.3086,-121.5431
hyemalis,327747,41.5151,-75.5416
mearnsi,343275,46.9325,-110.7354
oreganus,348366,30.98,-115.504
oreganus,348366,30.98,-115.504
oreganus,348366,30.98,-115.504
oreganus,348367,31.014,-115.463
oreganus,348367,31.014,-115.463
oreganus,348367,31.014,-115.463
oreganus,348368,30.98,-115.504
oreganus,348368,30.98,-115.504
oreganus,348368,30.98,-115.504
oreganus,348369,31.014,-115.463
oreganus,348369,31.014,-115.463
oreganus,348370,30.98,-115.504
oreganus,348370,30.98,-115.504
oreganus,348370,30.98,-115.504
hyemalis,353496,63.6547,-148.8362
hyemalis,353583,63.7158,-148.9528
hyemalis,353695,63.7158,-148.9528
caniceps,362028,39.0042,-107.9433
oreganus,362348,32.7397,-117.1581
oreganus,362348,32.7397,-117.1581
oreganus,362348,32.7397,-117.1581
caniceps,363160,39.7021,-105.2908
caniceps,363160,39.7021,-105.2908
caniceps,363160,39.7021,-105.2908
hyemalis,363228,44.3706,-73.1244
oreganus,365749,35.1791,-120.5168
oreganus,365749,35.1791,-120.5168
oreganus,365749,35.1791,-120.5168
caniceps,368497,39.9396,-105.2601
caniceps,368497,39.9396,-105.2601
caniceps,368497,39.9396,-105.2601
mearnsi,371882,46.8417,-110.6954
mearnsi,371883,46.8417,-110.6954
oreganus,373781,35.3172,-120.8527
oreganus,373781,35.3172,-120.8527
oreganus,373781,35.3172,-120.8527
caniceps,379274,40.0812,-105.541
caniceps,379274,40.0812,-105.541
oreganus,381584,39.698,-120.453
oreganus,381584,39.698,-120.453
oreganus,381584,39.698,-120.453
oreganus,381586,39.698,-120.453
oreganus,381590,39.698,-120.453
oreganus,381590,39.698,-120.453
oreganus,381590,39.698,-120.453
oreganus,381592,39.698,-120.453
oreganus,381592,39.698,-120.453
oreganus,381592,39.698,-120.453
hyemalis,382749,44.834,-81.0495
hyemalis,382749,44.834,-81.0495
hyemalis,382749,44.834,-81.0495
oreganus,386253,48.7143,-114.1743
hyemalis,394524,47.3197,-71.1461
hyemalis,394524,47.3197,-71.1461
hyemalis,394524,47.3197,-71.1461
hyemalis,406329,61.2339,-149.2707
hyemalis,406329,61.2339,-149.2707
hyemalis,406329,61.2339,-149.2707
hyemalis,406330,61.2339,-149.2707
hyemalis,406330,61.2339,-149.2707
hyemalis,406330,61.2339,-149.2707
oreganus,408651,34.2449,-117.0605
oreganus,408652,34.2449,-117.0605
oreganus,408653,34.2449,-117.0605
oreganus,412626,35.4242,-120.7375
oreganus,413015,34.4565,-119.71
oreganus,413015,34.4565,-119.71
oreganus,413015,34.4565,-119.71
oreganus,415746,47.8787,-123.7743
hyemalis,421294,42.2771,-76.664
hyemalis,421294,42.2771,-76.664
hyemalis,421294,42.2771,-76.664
hyemalis,424298,57.1575,-111.5598
hyemalis,432600,62.5764,-138.1381
oreganus,444869,39.6413,-120.6066
hyemalis,445568,58.4628,-104.4353
aikeni,467319,43.8461,-103.5607
oreganus,468116,47.6926,-122.2936
oreganus,468116,47.6926,-122.2936
oreganus,468116,47.6926,-122.2936
unknown,474561,40.8918,-91.0756
oreganus,476732,48.4579,-123.3237
oreganus,476732,48.4579,-123.3237
oreganus,476732,48.4579,-123.3237
caniceps,481068,39.3346,-117.1631
oreganus,483708,38.7985,-120.3483
oreganus,487483,49.9993,-122.993
oreganus,487483,49.9993,-122.993
oreganus,487483,49.9993,-122.993
dorsalis,494258,34.429,-111.333
dorsalis,494258,34.429,-111.333
hyemalis,497023,58.4623,-104.4294
hyemalis,497023,58.4623,-104.4294
hyemalis,497023,58.4623,-104.4294
mearnsi,516117,44.17,-107.252
mearnsi,516126,44.17,-107.252
mearnsi,516134,44.181,-107.259
mearnsi,516135,44.181,-107.259
caniceps,516464,41.358,-106.235
caniceps,516479,41.358,-106.235
hyemalis,516671,61.1466,-149.678
oreganus,528022,38.109,-122.871
oreganus,528043,38.548,-122.534
oreganus,528047,38.744,-119.578
hyemalis,535123,67.13968,-150.87558
hyemalis,535123,67.13968,-150.87558
hyemalis,535123,67.13968,-150.87558
hyemalis,535124,67.13968,-150.87558
hyemalis,535124,67.13968,-150.87558
hyemalis,535124,67.13968,-150.87558
hyemalis,535125,67.12463,-154.33174
hyemalis,535125,67.12463,-154.33174
hyemalis,535125,67.12463,-154.33174
hyemalis,535126,67.12463,-154.33174
hyemalis,535126,67.12463,-154.33174
hyemalis,535126,67.12463,-154.33174
hyemalis,535127,67.12463,-154.33174
hyemalis,535127,67.12463,-154.33174
hyemalis,535127,67.12463,-154.33174
hyemalis,535128,67.12463,-154.33174
hyemalis,535128,67.12463,-154.33174
hyemalis,535128,67.12463,-154.33174
hyemalis,535129,67.12463,-154.33174
hyemalis,535129,67.12463,-154.33174
hyemalis,535130,67.12463,-154.33174
hyemalis,535130,67.12463,-154.33174
hyemalis,535130,67.12463,-154.33174
hyemalis,535131,67.12463,-154.33174
hyemalis,535131,67.12463,-154.33174
hyemalis,535131,67.12463,-154.33174
hyemalis,535132,66.94509,-155.63939
hyemalis,535132,66.94509,-155.63939
hyemalis,535132,66.94509,-155.63939
hyemalis,535133,66.94509,-155.63939
hyemalis,535133,66.94509,-155.63939
hyemalis,535133,66.94509,-155.63939
hyemalis,535134,66.9688,-154.70372
hyemalis,535134,66.9688,-154.70372
hyemalis,535134,66.9688,-154.70372
hyemalis,535135,66.9688,-154.70372
hyemalis,535135,66.9688,-154.70372
hyemalis,535135,66.9688,-154.70372
hyemalis,535136,67.20123,-154.53601
hyemalis,535136,67.20123,-154.53601
hyemalis,535136,67.20123,-154.53601
hyemalis,535137,67.20123,-154.53601
hyemalis,535137,67.20123,-154.53601
hyemalis,535137,67.20123,-154.53601
hyemalis,535138,67.20123,-154.53601
hyemalis,535138,67.20123,-154.53601
hyemalis,535138,67.20123,-154.53601
hyemalis,535140,67.20123,-154.53601
hyemalis,535140,67.20123,-154.53601
hyemalis,535140,67.20123,-154.53601
hyemalis,535141,58.60343,-155.84497
hyemalis,535141,58.60343,-155.84497
hyemalis,535141,58.60343,-155.84497
caniceps,538591,40.394,-105.6725
caniceps,538591,40.394,-105.6725
caniceps,538591,40.394,-105.6725
oreganus,539422,47.6747,-122.2536
oreganus,539422,47.6747,-122.2536
oreganus,539422,47.6747,-122.2536
hyemalis,539451,39.5752,-78.0568
hyemalis,539596,39.5752,-78.0568
hyemalis,539610,39.5751881,-78.0568421
hyemalis,539616,39.5752,-78.0568
oreganus,539776,39.6413,-120.6088
oreganus,539777,39.6413,-120.6088
oreganus,539784,39.6192,-120.2688
oreganus,550080,47.7022,-122.3088
dorsalis,553317,35.0913,-113.8886
dorsalis,553357,35.0913,-113.8886
caniceps,554463,36.4216,-112.0769
