ID_Num,avg_silence_duration.ms.,avg_syllable_duration.ms.,avg_sylls_freq_range.Hz.,avg_sylls_lower_freq.Hz.,avg_sylls_upper_freq.Hz.,bout_duration.ms.,mean_syllable_stereotypy,num_syllable_per_bout_duration.1.ms.,num_syllables,num_unique_syllables,subspecies
45832,2.982574189,3.19784493,6.86935684,8.383037822,8.573879326,6.654397949,4.43275706,-3.764026193,2.890371758,0.693147181,hyemalis
47708,2.810231064,4.253225328,8.054980505,8.058077442,8.742840782,7.54760214,4.400386738,-4.456559682,3.091042453,0,oreganus
48888,3.208665143,4.130712206,7.826965721,8.079549185,8.646835452,7.49642339,4.324030585,-4.451900923,3.044522438,0,oreganus
49002,3.209306374,4.383246891,7.810568278,7.925666749,8.554673577,7.199239637,4.382923297,-4.63429029,2.564949357,0,oreganus
49076,3.031370789,3.810343377,8.26261987,7.951135246,8.805682354,7.264652421,4.33334139,-4.173609937,3.091042453,0,oreganus
49608,3.736156759,4.492891454,7.908246423,8.232950175,8.770214473,7.246039931,4.372734706,-4.848144703,2.397895273,0,hyemalis
49609,3.214571523,4.18504792,8.135150456,8.178963075,8.844264654,7.381323975,4.445622347,-4.490952253,2.890371758,0,hyemalis
49613,3.339984698,4.575855798,7.98908457,8.08227217,8.722937121,7.110760909,4.275418093,-4.808175872,2.302585093,0,hyemalis
50336,3.067683727,4.494182193,7.685462003,8.078280149,8.586192442,7.089547595,4.393145733,-4.691652358,2.397895273,0.693147181,oreganus
51209,3.053551844,3.52090441,7.651203883,8.022986122,8.539045838,7.36135526,4.402982623,-3.994059433,3.36729583,0,hyemalis
52403,3.798200371,4.62403867,7.831526732,8.280404333,8.767419308,7.258859178,4.121145312,-4.956274106,2.302585093,0.693147181,hyemalis
52403,3.718849124,4.691160634,7.826149061,8.296459016,8.775229616,6.917862756,4.087410287,-4.97195261,1.945910149,0,hyemalis
52404,3.808424605,4.122172445,7.757972849,8.171568084,8.671811598,6.819877726,4.022156343,-4.622653126,2.197224577,1.791759469,caniceps
52405,3.159361698,4.282673903,8.032817775,8.130239888,8.769202635,6.314237939,4.022156343,-4.522478467,1.791759469,1.791759469,caniceps
58546,3.252642687,7.263318494,7.950446778,8.091525376,8.709551926,7.263318494,4.183626298,-7.263317985,0,0,oreganus
58547,3.252642687,7.441739238,8.037458155,8.064857129,8.737525778,7.441739238,4.183626298,-7.441738652,0,0,oreganus
58547,3.252642687,7.337060914,8.064857129,8.037458155,8.737525778,7.337060914,4.183626298,-7.337060825,0,0,oreganus
58547,3.252642687,7.306850938,8.091525376,8.091525376,8.778071872,7.306850938,4.183626298,-7.30685022,0,0,oreganus
59030,3.252642687,4.462069342,7.772660376,8.259675351,8.731762073,7.188748363,4.183626298,-4.703841679,2.48490665,0.693147181,oreganus
59030,3.134803846,4.506680353,7.791002036,8.253505883,8.735014791,7.112055743,4.11985236,-4.714160504,2.397895273,0,oreganus
59030,3.125468595,4.50829794,7.86892992,8.240020998,8.75800431,7.200187954,4.093161689,-4.715281301,2.48490665,0,oreganus
59841,3.098231557,4.318809991,8.058927421,8.03397989,8.732773123,7.335613287,4.363370564,-4.563024524,2.772588722,1.098612289,oreganus
59843,3.004424545,3.853983852,8.292366939,8.171568084,8.921214763,7.24013753,4.287523865,-4.19561512,3.044522438,0,hyemalis
59844,2.947818918,4.045554398,7.578504361,8.059437061,8.532323759,7.31660091,4.387940642,-4.320868621,2.995732274,0,hyemalis
59845,2.294616923,3.968122658,7.474364103,8.16103411,8.560464197,6.963925551,4.35346071,-4.13071218,2.833213344,0,hyemalis
59847,2.81310345,3.571654299,8.156397929,8.004364466,8.769759273,7.411508332,4.395755931,-3.945772414,3.465735903,0,hyemalis
